route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RINFRA-801-1_Weekday-30,47114688,,1,113,801SB_120323
801,RINFRA-801-1_Weekday-30,47114689,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-30,47114690,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-30,47114691,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-30,47114692,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-30,47114693,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-30,47114694,,1,112,801SB_120323
801,RINFRA-801-1_Weekday-30,47114695,,1,114,801SB_120323
801,RINFRA-801-1_Weekday-30,47114696,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-30,47114697,,0,113,801NB_120323
801,RINFRA-801-1_Weekday-30,47114698,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-30,47114699,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-30,47114700,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-30,47114701,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-30,47114702,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-30,47114703,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-30,47114704,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-30,47114705,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-30,47114706,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-30,47114707,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-30,47114708,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-30,47114709,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-30,47114710,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-30,47114711,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-30,47114712,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-30,47114713,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-30,47114714,,0,113,801NB_120323
801,RINFRA-801-1_Weekday-30,47114715,,0,112,801NB_120323
801,RINFRA-801-1_Weekday-30,47114716,,0,114,801NB_120323
801,RINFRA-801-1_Weekday-30,47114717,,0,115,801NB_120323
801,RINFRA-801-1_Weekday-30,47114718,,0,116,801NB_120323
801,RINFRA-801-1_Weekday-30,47114719,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-30,47114720,,0,117,801NB_120323
801,RINFRA-801-1_Weekday-30,47114721,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-30,47114722,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-30,47114723,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-30,47114724,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-30,47114725,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-30,47114726,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-30,47114727,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-30,47114728,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-30,47114729,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-30,47114730,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-30,47114731,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-30,47114732,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-30,47114733,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-30,47114734,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-30,47114735,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-30,47114736,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-30,47114737,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-30,47114738,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-30,47114739,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-30,47114740,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-30,47114741,,0,119,801NB_120323
801,RINFRA-801-1_Weekday-30,47114742,,0,120,801NB_120323
801,RINFRA-801-1_Weekday-30,47114743,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-30,47114744,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-30,47114745,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-30,47114746,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-30,47114747,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-30,47114748,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-30,47114749,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-30,47114750,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-30,47114751,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-30,47114752,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-30,47114753,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-30,47114754,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-30,47114755,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-30,47114756,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-30,47114757,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-30,47114758,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-30,47114759,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-30,47114760,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-30,47114761,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-30,47114762,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-30,47114763,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-30,47114764,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-30,47114765,,1,116,801SB_120323
801,RINFRA-801-1_Weekday-30,47114766,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-30,47114767,,1,115,801SB_120323
801,RINFRA-801-1_Weekday-30,47114768,,1,117,801SB_120323
801,RINFRA-801-1_Weekday-30,47114769,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-30,47114770,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-30,47114771,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-30,47114772,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-30,47114773,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-30,47114774,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-30,47114775,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-30,47114776,,0,120,801NB_120323
801,RINFRA-801-1_Weekday-30,47114777,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-30,47114778,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-30,47114779,,0,119,801NB_120323
801,RINFRA-801-1_Weekday-30,47114780,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-30,47114781,,0,122,801NB_120323
801,RINFRA-801-1_Weekday-30,47114782,,0,121,801NB_120323
801,RINFRA-801-1_Weekday-30,47114783,,0,123,801NB_120323
801,RINFRA-801-1_Weekday-30,47114784,,0,122,801NB_120323
801,RINFRA-801-1_Weekday-30,47114785,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-30,47114786,,0,124,801NB_120323
801,RINFRA-801-1_Weekday-30,47114787,,0,125,801NB_120323
801,RINFRA-801-1_Weekday-30,47114788,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-30,47114789,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-30,47114790,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-30,47114791,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-30,47114792,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-30,47114793,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-30,47114794,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-30,47114795,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-30,47114796,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-30,47114797,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-30,47114798,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-30,47114799,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-30,47114800,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-30,47114801,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-30,47114802,,1,121,801SB_120323
801,RINFRA-801-1_Weekday-30,47114803,,1,119,801SB_120323
801,RINFRA-801-1_Weekday-30,47114804,,1,120,801SB_120323
801,RINFRA-801-1_Weekday-30,47114805,,1,122,801SB_120323
801,RINFRA-801-1_Weekday-30,47114806,,1,123,801SB_120323
801,RINFRA-801-1_Weekday-30,47114807,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-30,47114808,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-30,47114809,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-30,47114810,,1,125,801SB_120323
801,RINFRA-801-1_Weekday-30,47114811,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-30,47114812,,1,124,801SB_120323
801,RINFRA-801-1_Weekday-30,47114813,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-30,47114814,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-30,47114815,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-30,47114816,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-30,47114817,,1,119,801SB_120323
801,RINFRA-801-1_Weekday-30,47114818,,1,120,801SB_120323
801,RINFRA-801-1_Weekday-30,47114819,,1,121,801SB_120323
801,RINFRA-801-1_Weekday-30,47114820,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-30,47114821,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-30,47114822,,1,602,801SB_120323
801,RINFRA-801-1_Weekday-30,47114823,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-30,47114824,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-30,47114825,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-30,47114826,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-30,47114827,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-30,47114828,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-30,47114829,,1,110,801SB_120323
