datetime,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,line_id,station_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,tpis_name,hrs,datetime
2018-08-29 11:00:00,46260385,11:00:00,11:00:00,80134,14,806 - Downtown Santa Monica Station,0,0,801,34,80134,Westwood / Rancho Park Station,,34.036815999999995,-118.424576,,0,80134S,Westwood,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46310861,11:00:00,11:00:00,80421,21,804 - Azusa / Citrus,0,0,804,21,80421,Sierra Madre Villa Station,,34.147752000000004,-118.08121200000001,,0,80421S,Pasadena,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46252210,11:00:00,11:00:00,80132,12,806 - Downtown Santa Monica Station,0,0,801,32,80132,Culver City Station,,34.027896000000005,-118.38898600000002,,0,80132S,CulvrCty,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46260387,11:00:00,11:00:00,80125,5,806 - Downtown Santa Monica Station,0,0,801,25,80125,Expo Park / USC Station,,34.018227,-118.285734,,0,80125S,Expo Pk,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46526245,11:00:00,11:00:00,80154,5,801 - Downtown Long Beach Station,0,0,801,54,80154,5th Street Station,,33.773598,-118.189412,,0,80154S,5th St,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46312313,11:00:00,11:00:00,80405,23,804 - Atlantic Station,0,0,804,05,80405,Soto Station,,34.043746999999996,-118.21006100000001,,0,80405S,Soto,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46306530,11:00:00,11:00:00,80202,13,802 - North Hollywood Station,0,0,802,02,80202,Universal / Studio City Station,,34.140002,-118.36269899999999,,0,80202S,Univ City,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46261327,11:00:00,11:00:00,80130,10,806 - 7th Street / Metro Center Station,0,0,801,30,80130,Expo / La Brea / Ethel Bradley Station,,34.024803000000006,-118.35515900000001,,0,80130S,Ex/LBrea,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46497344,11:00:00,11:00:00,80416,16,804 - Azusa / Citrus,0,0,804,16,80416,Fillmore Station,,34.133521,-118.148126,,0,80416S,Fillmore,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46497289,11:00:00,11:00:00,80410,18,804 - Atlantic Station,0,0,804,10,80410,Chinatown Station,,34.063860999999996,-118.23584,,0,80410S,Chinatwn,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46322275,11:00:00,11:00:00,80311,11,803 - Norwalk Station,0,0,803,11,80311,Willowbrook - Rosa Parks Station - Metro Green Line,,33.928258,-118.238052,,0,80112S,Willwbrk,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46252399,11:00:00,11:00:00,80121,19,801 - 7th Street / Metro Center Station,0,0,801,21,80121,Pico Station,,34.040735,-118.26611799999999,,0,80121S,Pico,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46260264,11:00:00,11:00:00,80118,16,801 - 7th Street / Metro Center Station,0,0,801,18,80118,Washington Station,,34.01965,-118.24308400000001,,0,80118S,Washngtn,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46520336,11:00:00,11:00:00,80132,12,806 - Downtown Santa Monica Station,0,0,801,32,80132,Culver City Station,,34.027896000000005,-118.38898600000002,,0,80132S,CulvrCty,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46282575,11:00:00,11:00:00,80207,8,802 - North Hollywood Station,0,0,802,07,80207,Vermont / Santa Monica Station,,34.089909999999996,-118.29173,,0,80207S,Ver/SaMo,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46506050,11:00:00,11:00:00,80312,3,803 - Redondo Beach Station,0,0,803,12,80312,Long Beach Blvd Station,,33.92488,-118.20994499999999,,0,80312S,LB Bl,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46467141,11:00:00,11:00:00,80310,10,803 - Norwalk Station,0,0,803,10,80310,Avalon Station,,33.927465000000005,-118.26521699999999,,0,80310S,Avalon,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46474753,11:00:00,11:00:00,80423,5,804 - Atlantic Station,0,0,804,23,80423,Monrovia Station,,34.133155,-118.003473,,0,80423S,Monrovia,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46524520,11:00:00,11:00:00,80125,15,806 - 7th Street / Metro Center Station,0,0,801,25,80125,Expo Park / USC Station,,34.018227,-118.285734,,0,80125S,Expo Pk,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46474899,11:00:00,11:00:00,80401,27,804 - Atlantic Station,1,0,804,01,80401,Atlantic Station,,34.033398,-118.15446899999999,,0,80401S,East LA,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46318915,11:00:00,11:00:00,80427,1,804 - Atlantic Station,0,0,804,27,80427,APU / Citrus College Station,,34.136814,-117.891636,,0,80427S,Azusa,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46525854,11:00:00,11:00:00,80139,19,806 - Downtown Santa Monica Station,1,0,801,39,80139,Downtown Santa Monica Station,,34.01401,-118.49138400000001,,0,80139S,S Monica,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46252400,11:00:00,11:00:00,80118,16,801 - 7th Street / Metro Center Station,0,0,801,18,80118,Washington Station,,34.01965,-118.24308400000001,,0,80118S,Washngtn,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46260457,11:00:00,11:00:00,80137,3,806 - 7th Street / Metro Center Station,0,0,801,37,80137,26th Street / Bergamot Station,,34.027995000000004,-118.46911999999999,,0,80137S,26th/Berg,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46525735,11:00:00,11:00:00,80118,7,801 - 7th Street / Metro Center Station,0,0,801,18,80118,Washington Station,,34.01965,-118.24308400000001,,0,80118S,Washngtn,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46525856,11:00:00,11:00:00,80134,14,806 - Downtown Santa Monica Station,0,0,801,34,80134,Westwood / Rancho Park Station,,34.036815999999995,-118.424576,,0,80134S,Westwood,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46308238,11:00:00,11:00:00,80401,27,804 - Atlantic Station,1,0,804,01,80401,Atlantic Station,,34.033398,-118.15446899999999,,0,80401S,East LA,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46260263,11:00:00,11:00:00,80121,19,801 - 7th Street / Metro Center Station,0,0,801,21,80121,Pico Station,,34.040735,-118.26611799999999,,0,80121S,Pico,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46523813,11:00:00,11:00:00,80125,15,806 - 7th Street / Metro Center Station,0,0,801,25,80125,Expo Park / USC Station,,34.018227,-118.285734,,0,80125S,Expo Pk,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46506055,11:00:00,11:00:00,80309,9,803 - Norwalk Station,0,0,803,09,80309,Harbor Freeway Station,,33.928714,-118.2811,,0,80309S,Harbor,11,2018-08-29 11:00:00
2018-08-29 11:00:00,46284192,11:00:00,11:00:00,80201,1,802 - Union Station / Downtown LA,0,0,802,01,80201,North Hollywood Station,,34.168504,-118.37680800000001,,0,80201S,NoHo,11,2018-08-29 11:00:00
