id,report_date,report_time,vehicle_id,lat,lon,direction
229,08/29/18,11:59:57,452,34.112003,-118.170119,180
230,08/29/18,11:58:55,404,34.152417,-118.114348,0
231,08/29/18,11:58:55,402,34.152417,-118.114348,180
232,08/29/18,11:59:57,405,34.110365,-118.194177,0
233,08/29/18,11:59:57,451,34.063061,-118.236103,180
234,08/29/18,11:56:47,403,34.136919,-117.891003,0
235,08/29/18,11:59:57,454,34.132482,-117.976834,0
236,08/29/18,11:59:08,408,34.033352,-118.163801,0
237,08/29/18,11:59:48,409,34.033319,-118.168064,180
238,08/29/18,12:02:57,406,34.084084,-118.216459,0
239,08/29/18,12:02:06,401,34.047861,-118.229378,180
240,08/29/18,12:02:48,407,34.048083,-118.231104,0
241,08/29/18,12:02:29,452,34.108683,-118.197602,180
242,08/29/18,12:02:36,404,34.148691,-118.086438,0
243,08/29/18,12:02:36,402,34.151833,-118.135717,180
244,08/29/18,12:02:48,405,34.112344,-118.165047,0
245,08/29/18,12:02:57,451,34.053178,-118.237752,180
246,08/29/18,12:02:57,403,34.135809,-117.906884,180
247,08/29/18,12:02:29,454,34.1308999,-117.947721,0
248,08/29/18,12:02:57,408,34.03332,-118.183483,0
249,08/29/18,12:02:57,409,34.033406,-118.155974,180
250,08/29/18,12:05:19,406,34.0984,-118.206467,0
251,08/29/18,12:05:59,401,34.046044,-118.216283,180
252,08/29/18,12:05:59,407,34.055405,-118.234902,0
253,08/29/18,12:05:40,452,34.098552,-118.206192,180
254,08/29/18,12:05:49,404,34.148733,-118.067852,0
255,08/29/18,12:05:48,402,34.139816,-118.148139,180
256,08/29/18,12:05:59,405,34.120945,-118.150918,0
257,08/29/18,12:04:59,451,34.047861,-118.229378,180
258,08/29/18,12:05:19,403,34.128987,-117.933165,180
259,08/29/18,12:05:40,454,34.13477,-117.910129,0
260,08/29/18,12:05:16,408,34.034751,-118.192189,0
261,08/29/18,12:05:59,409,34.033418,-118.155782,0
262,08/29/18,12:08:50,406,34.110365,-118.194177,0
263,08/29/18,12:08:44,401,34.036903,-118.19448,180
264,08/29/18,12:08:20,407,34.06118,-118.235,0
265,08/29/18,12:08:50,452,34.084717,-118.215797,180
266,08/29/18,12:08:20,404,34.140337,-118.02527,0
267,08/29/18,12:08:50,402,34.119956,-118.151605,180
268,08/29/18,12:08:50,405,34.140548,-118.148183,0
269,08/29/18,12:08:50,451,34.046044,-118.216283,180
270,08/29/18,12:08:44,403,34.132544,-117.968079,180
271,08/29/18,12:08:50,454,34.136919,-117.891003,0
272,08/29/18,12:08:20,408,34.044427,-118.211701,0
273,08/29/18,12:08:20,409,34.03335,-118.162183,0
274,08/29/18,12:11:50,406,34.110365,-118.194177,0
275,08/29/18,12:11:44,401,34.036903,-118.19448,180
276,08/29/18,12:11:20,407,34.06118,-118.235,0
277,08/29/18,12:11:50,452,34.084717,-118.215797,180
278,08/29/18,12:11:20,404,34.140337,-118.02527,0
279,08/29/18,12:11:50,402,34.119956,-118.151605,180
280,08/29/18,12:11:50,405,34.140548,-118.148183,0
281,08/29/18,12:11:50,451,34.046044,-118.216283,180
282,08/29/18,12:11:44,403,34.132544,-117.968079,180
283,08/29/18,12:11:50,454,34.136919,-117.891003,0
284,08/29/18,12:11:20,408,34.044427,-118.211701,0
285,08/29/18,12:11:20,409,34.03335,-118.162183,0
286,08/29/18,12:14:53,406,34.120945,-118.150918,0
287,08/29/18,12:14:24,401,34.0333759,-118.173907,180
288,08/29/18,12:12:14,407,34.082787,-118.217915,0
289,08/29/18,12:14:24,452,34.057452,-118.23442,180
290,08/29/18,12:14:47,404,34.131239,-117.948661,0
291,08/29/18,12:13:11,402,34.109986,-118.194955,180
292,08/29/18,12:14:53,405,34.152417,-118.114348,0
293,08/29/18,12:12:33,451,34.034751,-118.192189,180
294,08/29/18,12:14:53,403,34.1340689,-118.006742,180
295,08/29/18,12:14:24,454,34.135809,-117.906884,180
296,08/29/18,12:14:03,408,34.047861,-118.229378,0
297,08/29/18,12:14:53,409,34.03326,-118.191311,0
298,08/29/18,12:17:42,406,34.139816,-118.148139,0
299,08/29/18,12:17:42,401,34.033368,-118.160931,180
300,08/29/18,12:17:53,407,34.094269,-118.210615,0
301,08/29/18,12:17:53,452,34.0483,-118.232583,180
302,08/29/18,12:17:53,404,34.130966,-117.922589,0
303,08/29/18,12:17:53,402,34.104021,-118.204462,180
304,08/29/18,12:17:34,405,34.148691,-118.086438,0
305,08/29/18,12:17:23,451,34.03326,-118.191311,180
306,08/29/18,12:17:34,403,34.148745,-118.039876,180
307,08/29/18,12:17:42,454,34.128676,-117.93575,180
308,08/29/18,12:17:42,408,34.055405,-118.234902,0
309,08/29/18,12:17:42,409,34.036247,-118.19302,0
310,08/29/18,12:19:55,406,34.140317,-118.14815,0
311,08/29/18,12:20:03,401,34.033395,-118.154466,180
312,08/29/18,12:20:45,407,34.108683,-118.197602,0
313,08/29/18,12:20:03,452,34.047634,-118.22594,180
314,08/29/18,12:20:55,404,34.136857,-117.891613,0
315,08/29/18,12:20:45,402,34.088014,-118.21243,180
316,08/29/18,12:20:45,405,34.148733,-118.067852,0
317,08/29/18,12:20:55,451,34.033328,-118.182941,180
318,08/29/18,12:20:55,403,34.147732,-118.08192,180
319,08/29/18,12:20:55,454,34.132488,-117.975868,180
320,08/29/18,12:20:26,408,34.06118,-118.235,0
321,08/29/18,12:20:45,409,34.047232,-118.219914,0
322,08/29/18,12:23:46,406,34.15201,-118.1258,0
323,08/29/18,12:23:08,401,34.03335,-118.162183,0
324,08/29/18,12:23:53,407,34.111526,-118.186431,0
325,08/29/18,12:23:46,452,34.044427,-118.211701,180
326,08/29/18,12:21:25,404,34.136919,-117.891003,0
327,08/29/18,12:23:46,402,34.068632,-118.233044,180
328,08/29/18,12:23:46,405,34.140337,-118.02527,0
329,08/29/18,12:22:36,451,34.0333759,-118.173907,180
330,08/29/18,12:23:25,403,34.152417,-118.114348,180
331,08/29/18,12:23:53,454,34.132375,-117.998302,180
332,08/29/18,12:23:25,408,34.070755,-118.228575,0
333,08/29/18,12:22:36,409,34.047772,-118.227849,0
334,08/29/18,12:26:57,406,34.149532,-118.087822,0
335,08/29/18,12:26:49,401,34.0332999,-118.188117,0
336,08/29/18,12:26:57,407,34.116257,-118.156545,0
337,08/29/18,12:26:57,452,34.035243,-118.19222,180
